rank,item_id,name,era,level,type,category,cost_min_eur,cost_mid_eur,cost_max_eur,cost_basis,cost_score,absurdity_score,waste_purity,waste_priority,confidence,pain_tax_fte,pain_net_years,pain_eur_per_employee,pain_work_minutes,sources_brief,one_liner,notes
64,hw_anvaing_n60,N60 Anvaing unused four-lane embankment,1970s–1980s,Wallonia,infrastructure,ghost_infra,5000000,20000000,50000000,700m embankment + useless viaducts — Weak €,5.5,9.0,9.5,7.55,weak,1030.9,678.0,4.12,8.46,Hidden Monuments unused four-lane road,Four lanes of asphalt ambition ending in a ploughed field.,GTI photo classic.
65,hw_nmbs_ict_multi,NMBS multi-year ICT / punctuality programme overruns (cluster),2000s–2020s,federal,procurement,it_failure,300000000,800000000,2000000000,"Cluster of delayed ticketing, planning, customer IT; no single consolidated public TCO — Weak",7.5,8.0,7.0,7.53,weak,41237.1,27118.6,164.95,338.31,Court of Audit NMBS ICT reports (various years); parliamentary Qs,Railway software that arrives after the timetable it was meant to fix.,Core ops not waste; IT delivery is.
66,hw_strepy_thieu,"Strépy-Thieu boat lift — mega engineering, thin traffic",1980s–2000s,Wallonia,infrastructure,waterways,400000000,600000000,900000000,One of world’s tallest lifts; long build; traffic below 1960s industrial forecasts; tourism partially salvages,7.5,8.0,7.0,7.53,medium,30927.8,20339.0,123.71,253.74,Hidden Monuments; SPW; historical canal modernisation files,A cathedral of hydraulic engineering for a canal that never filled with barges.,Iconic; utility disputed; tourism co-benefit.
67,hw_dienstencheques_decade,Service vouchers (dienstencheques) multi-year fiscal cost,2004–2020s,federal+regions,subsidy,structural_fiscal,15000000000,25000000000,40000000000,Large recurring labour-market instrument; employment vs deadweight debated; multi-year TCO class,9.5,6.5,5.0,7.48,medium,1288659.8,847457.6,5154.64,10572.32,IDEA/FPB evaluations; regional budgets,Formalise domestic work with a fiscal booster rocket — forever.,Steelman: reduce black labour; waste is permanent subsidy intensity.
68,hw_godsheide_bridge,Godsheide cable-stayed bridge (local traffic only),1970s–1980s,Flanders,infrastructure,ghost_infra,20000000,50000000,120000000,Largest BE cable-stayed bridge for a road that never became the planned expressway — Weak €,5.5,9.0,9.0,7.42,weak,2577.3,1694.9,10.31,21.14,fr.wiki GTI; Defossé,Belgium’s grandest cable-stayed bridge… for neighbourhood traffic.,Pure GTI classic.
69,hw_n54_ghost,N54 Charleroi–Maubeuge unfinished dual carriageway stubs,1970s–1980s,Wallonia,infrastructure,ghost_infra,10000000,40000000,100000000,"Two stubs, unused bridge under N40 — Weak €",5.5,9.0,9.0,7.42,weak,2061.9,1355.9,8.25,16.92,Defossé; fr.wiki GTI,A border motorway that ends in the middle of nowhere — twice.,Waffle-iron cross-border ambition.
70,hw_heppignies_exchange,Heppignies oversized exchange to a roundabout in fields,1970s–1980s,Wallonia,infrastructure,ghost_infra,5000000,20000000,50000000,Half-cloverleaf for missing fourth arm — Weak €,5.5,9.0,9.0,7.42,weak,1030.9,678.0,4.12,8.46,fr.wiki GTI,Motorway geometry designed for a fourth arm that is a field.,Textbook GTI photo op.
71,hw_arquennes_bridge,Arquennes bridge for Nivelles–Gouy ghost motorway,1970s,Wallonia,infrastructure,ghost_infra,5000000,15000000,40000000,Bridge over A54 slip for missing link — Weak €,5.5,9.0,9.0,7.42,weak,773.2,508.5,3.09,6.34,fr.wiki GTI,A bridge ready for cars that never got a road.,GTI classic.
72,hw_wage_subsidy_wedge,Wage-subsidy / labour-tax wedge compensation stack (multi-year class),2000s–2020s,federal,tax_expenditure,structural_fiscal,80000000000,100000000000,150000000000,Illustrative multi-year TCO class: NBB enterprise wage-subsidy block ~€16.7bn/yr (2023/24 order); 6–10y cumulative for ranking comparability — NOT pure waste; deadweight share unknown,9.5,7.0,4.0,7.38,medium,5154639.2,3389830.5,20618.56,42289.29,NBB enterprise subsidies series; DOGE lb_wage_subsidies_block,Perpetual fiscal duct-tape for Europe’s highest labour tax wedge — the euro is real; how much is pure waste is the open fight.,"Steelman: high wedge needs offset. Waste claim is deadweight + complexity, not the whole envelope."
73,hw_ronquieres,Ronquières inclined plane — oversized for realised traffic,1960s–1970s,Wallonia,infrastructure,waterways,100000000,250000000,500000000,Replaces 16 locks; traffic forecasts optimistic; era cost rebased Weak,7.5,7.5,7.0,7.38,weak,12886.6,8474.6,51.55,105.72,Hidden Monuments; canal history,Sixteen locks replaced by a machine waiting for missing barges.,Still operates; capacity underused vs design.
74,hw_primary_gap_multi,Primary balance gap vs debt-stabilising path (multi-year class),2020s,federal+GG,fiscal_architecture,structural_fiscal,80000000000,100000000000,140000000000,IMF/NBB class ~€15–20bn/yr primary gap × multi-year; not a ‘project’ — the meta-waste of structural deficit,9.5,6.0,5.0,7.33,medium,5154639.2,3389830.5,20618.56,42289.29,IMF Art. IV; NBB public finance; DOGE lb_primary_gap,Interest and snowball: the silent multi-billion that funds past choices.,Not illegal spending; opportunity cost of delayed consolidation.
75,hw_health_low_value,Low-value care / billing waste in health insurance (subset),2000s–2020s,federal,ops,health,10000000000,25000000000,50000000000,RIZIV ~€40bn/yr; waste literature often 10–20% low-value care order-of-magnitude — Weak for BE-specific,9.5,6.0,5.0,7.33,weak,1288659.8,847457.6,5154.64,10572.32,RIZIV budgets; international low-value care literature,Universal care is a feature; paying for useless procedures is a bug.,Do not campaign as cut to access; target low-value only.
76,hw_offshore_wind_lifetime,Federal offshore wind production support (lifetime class),2010s–2030s,federal,subsidy,energy_policy,8000000000,12700000000,18000000000,NBB ESA + CREG cash paths; lifetime estimate class ~€12.7bn historically cited in DOGE notes,9.5,6.0,5.0,7.33,medium,654639.2,430508.5,2618.56,5370.74,NBB subsidies; CREG; DOGE lb_offshore_wind_support,Climate steelman is real; overprofit and contract design are the waste debate.,Later PEZ tenders improve; first-wave contracts residual.
77,hw_vat_horeca_decade,VAT reduced rate horeca (multi-year taxex),2010s–2020s,federal,tax_expenditure,structural_fiscal,8000000000,12000000000,15000000000,~€1.2bn/yr class × ~10y; employment RCT thin,9.5,6.0,5.0,7.33,strong,618556.7,406779.7,2474.23,5074.71,FPS taxex; DOGE lb_vat_horeca,Cheaper steak frites by statute — sector lobby with a VAT code.,Steelman: labour-intensive sector; waste is untargeted permanence.
78,hw_dual_psb_decade,Dual public broadcasters VRT + RTBF (10y ordinary dots class),2015–2025,multi,subsidy,institutions,5000000000,6500000000,8000000000,~€0.65bn/yr ordinary dual PSB × 10y; each may be justified alone — dualism is the waste claim,9.5,6.0,5.0,7.33,strong,335051.5,220339.0,1340.21,2748.80,DOGE lb_dual_psb; community budgets,Two full public broadcasters for 11 million people — linguistic federalism on screen.,Not ‘abolish culture’; score dual overhead.
79,hw_vl_carbon_leakage,Flanders CIE carbon-leakage compensation (multi-year),2010s–2020s,Flanders,subsidy,energy_policy,1500000000,2500000000,4000000000,~€0.25bn/yr class path; ~40 firms; invest audits delayed,9.5,6.0,5.0,7.33,strong,128866.0,84745.8,515.46,1057.23,VLAIO/FIO; DOGE lb_vl_carbon_leakage_cie,Pay heavy industry for EU-ETS power costs — additionality on a promise.,Steelman EU CIE; L5 names FOI.
80,hw_relance_vv_roi,Vlaamse Veerkracht / RRF project ROI mixed bag (subset risk),2021–2026,Flanders,multi-year_commitment,stimulus,1000000000,2000000000,4000000000,Programme larger; waste claim is low-ROI subset only — Weak split,9.5,6.0,5.0,7.33,weak,103092.8,67796.6,412.37,845.79,VL BO/relance docs; DOGE lb_relance_vv,EU recovery money spent fast — additionality and CBA uneven.,Not all waste; sunset + open list required.
81,hw_neerpede_a9,Neerpede / A9 ghost interchange earthworks,1970s,Brussels/Flanders,infrastructure,ghost_infra,10000000,40000000,100000000,Massive interchange for abandoned A9; some mounds later leisure (Yéti Ski) — Weak €,5.5,9.0,8.5,7.30,weak,2061.9,1355.9,8.25,16.92,Defossé; wegen-routes.be A9,Ski on the ruins of a motorway that politics killed — after earthworks.,Partial reuse softens purity slightly.
82,hw_ypres_comines_canal,Ypres–Comines canal incomplete (1864–1912),1860s–1910s,Flanders,infrastructure,ghost_infra,5000000,20000000,80000000,19th-c canal never joined; Hollebeke collapse; era francs → modern € speculative,5.5,8.5,9.0,7.28,weak,1030.9,678.0,4.12,8.46,fr.wiki canal; GTI list,Half a century of digging that never connected the water.,Historical; opportunity cost in period labour.
83,hw_charleroi_airport_aid,Charleroi airport public support / Ryanair state-aid saga,2000s–2010s,Wallonia,subsidy,airports,100000000,300000000,800000000,BSCA support + EC state-aid cases; multi-year — Medium/Weak,7.5,7.5,6.5,7.25,weak,15463.9,10169.5,61.86,126.87,EC Ryanair/Charleroi decisions; SOWAER notes,Low-cost airport growth with a state-aid courtroom sequel.,Jobs steelman; subsidy design was the problem.
84,hw_lavoir_peronnes,"Péronnes coal washery — short life, long empty, then renovated empty",1950s–2000s,Wallonia,infrastructure,industrial_shell,10000000,40000000,100000000,15 years operation; decades empty; public reno without reuse — Weak €,5.5,8.5,8.5,7.15,weak,2061.9,1355.9,8.25,16.92,RTBF JTI lavoir Péronnes,"Wash coal for 15 years, then renovate the ruin for nothing.",Industrial heritage vs zombie spend.
85,hw_drogenbos_exchange,Drogenbos partial ring exchange (half-demolished),1970s–1990s,Brussels,infrastructure,ghost_infra,10000000,30000000,80000000,Partial south ring works never completed; some bridges demolished — Weak €,5.5,8.5,8.5,7.15,weak,1546.4,1016.9,6.19,12.69,Defossé; R0 history,"Ring pieces built, then torn down — urban planning as temporary sculpture.",Classic Brussels ring politics.
86,hw_dolimarts,"Centre des Dolimarts — asylum plan fail, then decay sale",1960s–2010s,federal,infrastructure,buildings,5000000,20000000,50000000,Federal buy for asylum centre that never opened — Weak €,5.5,8.5,8.5,7.15,weak,1030.9,678.0,4.12,8.46,RTBF JTI Dolimarts,"Buy a holiday camp for asylum seekers, do nothing, sell a wreck.",Federal asset mismanagement vignette.
87,hw_antwerp_courthouse,Antwerp new courthouse (Gerechtsgebouw) cost overruns,2000s–2010s,federal,infrastructure,buildings,200000000,400000000,600000000,Iconic Rogers Stirk Harbour design; large overrun vs original envelope (press/parliamentary history) — Medium,7.5,7.5,6.0,7.12,medium,20618.6,13559.3,82.47,169.16,Federal buildings agency history; press archive on Antwerp law courts,A postcard courthouse that cost like a small metro line.,Building is used; waste is overrun + procurement model.
88,hw_bernistap_tunnel,"Bernistap canal tunnel (Meuse–Moselle dream, 1828–1831)",1820s–1830s,Wallonia,infrastructure,ghost_infra,2000000,10000000,40000000,Interrupted by Belgian independence; half-bored — Weak rebased €,5.5,8.0,9.0,7.12,weak,515.5,339.0,2.06,4.23,fr.wiki Tunnel de Bernistap,William I’s canal tunnel stopped by a revolution — and never restarted.,Geopolitical abort more than mismanagement.
89,hw_maribel_decade,Maribel social funds wage subsidies (10y class),2015–2025,federal,subsidy,structural_fiscal,10000000000,15000000000,20000000000,~€1.5bn/yr class × 10y; care jobs steelman; additionality open,9.5,6.0,4.0,7.08,strong,773195.9,508474.6,3092.78,6343.39,NBB; DOGE lb_maribel_social_funds,Non-market employment subsidies at billion scale — FTE outcomes under-published.,Not pure waste; transparency gap is.
90,hw_credendo_contingent,Credendo export-credit cover capacity (contingent public risk),2000s–2020s,federal,contingent_liability,financial_risk,5000000000,15000000000,33000000000,Cover capacity class up to ~€33bn contingent — not cash spent; expected loss much lower,9.5,6.0,4.0,7.08,medium,773195.9,508474.6,3092.78,6343.39,DOGE lb_credendo_cover_capacity_33bn; annual reports,Taxpayers as silent co-insurer of export risk — fine print in the billions.,Not spent cash; still public risk capital.
91,hw_actiris_growth,Actiris PES budget growth vs placement outcomes debate,2005–2020s,Brussels,agency,labour_market,3000000000,5000000000,8000000000,Current ~€0.65–0.69bn/yr; multi-year cumulative; headcount growth noted — not pure waste,9.5,6.0,4.0,7.08,medium,257732.0,169491.5,1030.93,2114.46,Actiris budgets; DOGE lb_actiris; Cour notes,A PES that grew with unemployment — dual-market Brussels complexity real.,Core service; efficiency claim is the waste angle.
92,hw_smaakhaven,Smaakhaven food innovation campus subsidy (Radar clown classic),2020s,Flanders,subsidy,vanity_project,30000000,38000000,50000000,Public envelope ~€38m class analysed in Proposal Radar,5.5,8.5,8.0,7.03,strong,1958.8,1288.1,7.84,16.07,Proposal Radar prop_2022_smaakhaven_38m; press,Food campus vibes with a fiscal bill you can taste in werkminuten.,Small vs banks; high absurdity density.
93,hw_nh90_a400m,NH90 / A400M defence programme delays & extra costs (BE share),2000s–2020s,federal,procurement,defence,300000000,800000000,1500000000,European co-op programmes chronic delay; BE share of overruns Medium/Weak,7.5,7.0,6.0,6.97,weak,41237.1,27118.6,164.95,338.31,Defence parliamentary docs; NAO-style BE notes,"Aircraft that arrive late, rare, and expensive — European industrial policy in uniform.",Capability eventually real; waste is delay/cost.
94,hw_hingeon_bridge,Hingeon bridge from cul-de-sac to a field over E42,1970s,Wallonia,infrastructure,ghost_infra,1000000,5000000,15000000,Bridge over motorway to nowhere — Weak €,3.5,9.5,10.0,6.92,weak,257.7,169.5,1.03,2.11,fr.wiki GTI; RTBF ponts inutiles,A bridge from a dead-end street to a field — over a motorway.,Absurdist perfection.
95,hw_mirwart_castle,Château de Mirwart — repeated failed public/private conversions,1970s–2010s,Wallonia,infrastructure,buildings,5000000,20000000,50000000,Hotel school / luxury hotel dreams; public money and delays — Weak €,5.5,8.0,8.0,6.88,weak,1030.9,678.0,4.12,8.46,RTBF JTI Mirwart,A castle that refused every business plan thrown at it.,Heritage hard; process waste real.
96,hw_liege_airport_cargo,Liège airport cargo growth public support stack,2000s–2020s,Wallonia,subsidy,airports,100000000,400000000,1000000000,Infrastructure + SOE support; noise externalities extra — Weak mid,7.5,7.0,5.5,6.85,weak,20618.6,13559.3,82.47,169.16,SOWAER; regional budgets; FOI candidates,Cargo boom paid partly off the public balance sheet — and local sleep.,Externalities under-priced.
97,hw_simonis_stations,Simonis / Pannenhuis stations closed then reopened decades later,1980s–2010s,federal,infrastructure,ghost_infra,10000000,40000000,100000000,"Built, closed 1984, reopened 2009/2015 — capital idle decades — Weak €",5.5,8.0,7.5,6.75,weak,2061.9,1355.9,8.25,16.92,Defossé; SNCB history,Stations so useless they closed — then useful enough to reopen. Time-value still lost.,Partial redemption lowers purity.
98,hw_berlaymont_asbestos,Berlaymont asbestos renovation (EU Commission HQ) — BE/EU shared path,1990s–2000s,multi/EU,infrastructure,buildings,500000000,800000000,1200000000,Multi-year closure & renovation classic overrun story; BE/EU financing mix — Medium,7.5,7.0,5.0,6.72,medium,41237.1,27118.6,164.95,338.31,EU/BE historical accounts; press on Berlaymont renovation,The Commission’s HQ sat empty while asbestos and invoices piled up.,Not pure BE bill; included for shared capital history.
99,hw_machelen_interchange,Machelen interchange unused ramps (later TGV partial use),1970s,Flanders,infrastructure,ghost_infra,20000000,60000000,150000000,E19–R0 monster interchange; part unused for decades; some later HSL use — Medium/Weak,5.5,8.0,7.0,6.62,weak,3092.8,2033.9,12.37,25.37,Defossé; Diabolo/HSL history,A cloverleaf for a motorway into Brussels that never punched through.,Partial later use reduces pure-waste score.
100,hw_taxex_total_decade,Federal tax expenditures total quantified (5–10y class),2018–2025,federal,tax_expenditure,structural_fiscal,150000000000,200000000000,280000000000,FPS inventory ~€39bn quantified (2023 class) × multi-year; many unquantified still; mega-aggregate not a single cut,9.5,5.0,3.0,6.53,strong,10309278.4,6779661.0,41237.11,84578.57,FPS tax expenditure inventory; DOGE lb_fed_taxex_total,Parliament’s deviation from the tax code is larger than many ministries — and still incomplete.,Map entry for scale; do not campaign as ‘€200bn pure waste’.
101,hw_nmbs_pso_decade,"NMBS PSO / federal support package (10y class, efficiency subset)",2015–2025,federal,ops,transport_opex,15000000000,20000000000,25000000000,~€2bn/yr class × 10y; pure waste is inefficiency/ICT/punctuality gap not full PSO,9.5,5.0,3.0,6.53,medium,1030927.8,677966.1,4123.71,8457.86,DOGE lb_nmbs_esa_support; ODC path,Public rail needs public money — the waste is how much disappears into delay and IT.,"Rank high on cash, low on purity."
102,hw_f35_path,F-35 replacement path — lifecycle cost lock-in debate,2018–2040s,federal,procurement,defence,4000000000,6000000000,10000000000,Acquisition + lifecycle class multi-bn; not pure waste — opportunity cost vs alternatives contested,9.5,5.0,3.0,6.53,medium,309278.4,203389.8,1237.11,2537.36,Defence Strategic Vision; parliamentary fighter debates,"Deterrence steelman vs sticker shock — on the list as fiscal lock-in, not automatic clown.",Low purity: core security good if delivered.
103,hw_de_lijn_efficiency,De Lijn multi-year dotatie efficiency gap (subset claim),2010s–2020s,Flanders,ops,transport_opex,2000000000,5000000000,10000000000,"Dotatie ~€1–1.5bn/yr; waste = efficiency gap only, not whole bus network — Weak split",9.5,5.0,3.0,6.53,weak,257732.0,169491.5,1030.93,2114.46,DOGE lb_de_lijn_dotatie; VL PQ series,Buses are not waste; running them badly can be.,Core service; KPI pressure is the reform.
104,hw_stib_efficiency,STIB multi-year financing efficiency + Metro3 spillover,2010s–2020s,Brussels,ops,transport_opex,2000000000,5000000000,10000000000,~€1.2bn/yr class; efficiency + capital project spillover — Weak pure-waste split,9.5,5.0,3.0,6.53,weak,257732.0,169491.5,1030.93,2114.46,DOGE lb_stib; Cour BCR,Dense city transit is valuable; blank cheques are not a strategy.,Link to Metro3 governance.
105,hw_perwez_bridge,Perwez bypass bridge unused; project buried 2019,2010s,Wallonia,infrastructure,ghost_infra,2000000,8000000,15000000,Bridge built; bypass cancelled; +€6.7m would have been needed — Medium/Weak,3.5,9.0,9.0,6.52,medium,412.4,271.2,1.65,3.38,RTBF/RTL Perwez 2017–2019,"Build the bridge first, cancel the road later — modern GTI.",Recent enough to still sting.
106,hw_diabolo,Diabolo rail link to Brussels Airport — surcharge model & cost,2000s–2010s,federal,infrastructure,transport_capex,500000000,800000000,1200000000,PPP-style airport rail; passenger surcharge funds debt; total project ~€0.5–1bn class depending on perimeter,7.5,6.0,4.0,6.17,medium,41237.1,27118.6,164.95,338.31,Infrabel/NMBS Diabolo dossiers; National Bank notes,"Useful airport rail paid forever via ticket surcharge — steelman works, opacity remains.",Not pure waste; on list for financing design + lock-in.
107,hw_wassalon,"Het Wassalon gelijke-kansen vodcast (tiny cash, max absurdity)",2020s,Flanders,subsidy,vanity_project,200000,800000,1000000,~€800k/3y class DOGE; annual ~€0.27m,1.5,9.5,9.0,5.78,strong,41.2,27.1,0.16,0.34,DOGE lb_vl_wassalon_podcast,A podcast so equal-opportunity it made the waste leaderboard on pure vibes-per-euro.,Honourable absurdity mention; not top by cash.
